"","OBJECTID","INFORMATIO","OPENINGHOU","OPENINGH_1","OPENINGH_2","FACILITIES","SPORTS","TAGS","POSTAL_COD","ADDRESS","SCHOOL_NAM","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR"
"11",11,"https://www.myactivesg.com/facilities/school-facilities/coral-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Coral Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, Ac","518901","31 Pasir Ris Street 51","Coral Secondary School","438DAB3B157EE1DC",2015-02-11,40870.9023,38809.0351
"12",12,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Corporation Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","648347","31 Jurong West Street 24","Corporation Primary School","BB429640D0352849",2015-02-11,14006.5239,37066.2771
"13",13,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Crescent Girls' School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, Ac","247961","357 Tanglin Road","Crescent Girls' School","914951FC99CEDA47",2015-02-11,26244.4779,30634.221
"14",14,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Damai Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","479226","52 Bedok Reservoir Crescent","Damai Primary School","8B3D9D9B41DBCA13",2015-02-11,37781.5983,35310.332
"15",15,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Damai Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","479229","4800 Bedok Reservoir Road","Damai Secondary School","7C90B3577A97A596",2015-02-11,38360.8761,35524.6962
"16",16,"https://www.myactivesg.com/facilities/school-facilities/da-qiao-primary-school",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Da Qiao Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","569185","8 Ang Mo Kio Street 54","Da Qiao Primary School","7A579863D26BB2F8",2015-02-11,30857.3203,39313.4784
"17",17,"https://www.myactivesg.com/facilities/school-facilities/deyi-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Deyi Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","569277","1 Ang Mo Kio Street 42","Deyi Secondary School","9F3FC341F5395EC6",2015-02-11,30110.3016,38739.6808
"18",18,"https://www.myactivesg.com/facilities/school-facilities/dunearn-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council,Dunearn Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","659204","21 Bukit Batok West Avenue 2","Dunearn Secondary School","A03E0606CD0E7016",2015-02-11,18165.9967,38411.0582
"19",19,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, East Coast Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","469031","8 Chai Chee Lane","East Coast Primary School","92A7B0729CFA51CD",2015-02-11,37634.2281,34590.9616
"20",20,"https://www.myactivesg.com/facilities/school-facilities/ahmad-ibrahim-primary-school-field",NA,NA,NA,"Free To Play Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Ahmad Ibrahim Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Football","768643","10 Yishun Street 11","Ahmad Ibrahim Primary School","2F8971FEE8A0FFC7",2015-02-11,27936.777,46125.1634
"21",21,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football, Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Ahmad Ibrahim Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football,","768928","751 Yishun Avenue 7","Ahmad Ibrahim Secondary School","372DA34FEE5CCAB8",2015-02-11,27599.0065,46417.9153
"22",22,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field, Indoor Sports Hall","Free Play, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Anchor Green Primary School, Free To Play Field, Indoor Sports Hall, FTP, ISH, Sport Singapore, Spo","544969","31 Anchorvale Drive","Anchor Green Primary School","9ACB68C567495F83",2015-02-11,33992.3624,41365.6845
"23",23,"https://www.myactivesg.com/facilities/school-facilities/anderson-secondary-school-hall",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Anderson Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG,","569206","10 Ang Mo Kio Street 53","Anderson Secondary School","88B01F06BA7D9CA3",2015-02-11,30015.5733,39582.2412
"24",24,"https://www.myactivesg.com/facilities/school-facilities/ang-mo-kio-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Ang Mo Kio Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","569362","6 Ang Mo Kio Street 22","Ang Mo Kio Secondary School","F5967603D20B6431",2015-02-11,28983.3848,38818.7062
"25",25,"https://www.myactivesg.com/facilities/school-facilities/bartley-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bartley Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","538403","10 Jalan Bunga Rampai","Bartley Secondary School","1C29229F3EC84397",2015-02-11,33468.3606,35797.8882
"26",26,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Beatty Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, A","318990","1 Toa Payoh North","Beatty Secondary School","396B112D6FD6F84A",2015-02-11,30081.0996,35993.9012
"27",27,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bedok Green Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","469317","1 Bedok South Avenue 2","Bedok Green Primary School","55059BC374FA1D7F",2015-02-11,39621.6229,34026.5438
"28",28,"https://www.myactivesg.com/facilities/school-facilities/bedok-green-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bedok Green Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","469722","360 Bedok North Avenue 3","Bedok Green Secondary School","9EBE5345312AA026",2015-02-11,39319.2397,35190.1324
"29",29,"https://www.myactivesg.com/facilities/school-facilities/east-spring-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, East Spring Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Sport","529231","30 Tampines Street 34","East Spring Secondary School","5D10C677DE10594A",2015-02-11,42169.2766,37590.3661
"30",30,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, East View Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","528907","4 Tampines Street 91","East View Primary School","E165D2294D942963",2015-02-11,39822.0146,36565.8029
"31",31,"https://www.myactivesg.com/facilities/school-facilities/east-view-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, East View Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","529177","3 Tampines Street 42","East View Secondary School","C695C4072BF48FC5",2015-02-11,40939.3661,37815.5105
"32",32,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Edgefield Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","828869","41 Edgefield Plains","Edgefield Primary School","28A430298C132644",2015-02-11,36247.6593,42463.4653
"33",33,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Elias Park Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518866","11 Pasir Ris Street 52","Elias Park Primary School","774833E09CCD0662",2015-02-11,40443.0324,39612.4364
"34",34,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field, Indoor Sports Hall","Free Play, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Endeavour Primary School, Free To Play Field, Indoor Sports Hall, FTP, ISH, Sport Singapore, SportS","757521","10 Admiralty Link","Endeavour Primary School","0254BCA421134CCD",2015-02-11,26231.5592,48420.95
"35",35,"https://www.myactivesg.com/facilities/school-facilities/fuchun-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Fuchun Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","739062","21 Woodlands Avenue 1","Fuchun Secondary School","DB7098DAEA717DE3",2015-02-11,21749.0564,45839.9452
"36",36,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Fuhua Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","609647","65 Jurong East Street 13","Fuhua Primary School","BFBE9A40DE153AE7",2015-02-11,17181.0142,35409.5461
"37",37,"https://www.myactivesg.com/facilities/school-facilities/fuhua-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Fuhua Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, Ac","649410","5 Jurong West Street 41","Fuhua Secondary School","ADA24513A4746D5A",2015-02-11,16114.5939,36571.7499
"38",38,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Gan Eng Seng Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","158901","100 Redhill Close","Gan Eng Seng Primary School","C9075413429DDA79",2015-02-11,25986.6929,29819.9412
"39",39,"https://www.myactivesg.com/facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Gan Eng Seng School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","159561","1 Henderson Road","Gan Eng Seng School","DEAA5F6A8C9DA8BF",2015-02-11,26933.2821,30164.4597
"40",40,"https://www.myactivesg.com/facilities/school-facilities/gongshang-primary-school-hall",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Gongshang Primary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","529176","1 Tampines Street 42","Gongshang Primary School","B6EF48DA10CAE5CB",2015-02-11,40858.5827,37711.7035
"41",41,"https://www.myactivesg.com/facilities/school-facilities/greendale-primary-school-hall",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Greendale Primary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","828848","50 Edgefield Plains","Greendale Primary School","9175A18609DFAA47",2015-02-11,36794.1496,42042.168
"42",42,"https://www.myactivesg.com/facilities/school-facilities/greendale-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Greendale Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","828866","51 Edgedale Plains","Greendale Secondary School","0A149103D75D59B8",2015-02-11,36708.9885,42129.8716
"43",43,"https://www.myactivesg.com/facilities/school-facilities/greenridge-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Greenridge Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","679938","32 Bukit Panjang Road","Greenridge Secondary School","07BA9FFCD6C58ABE",2015-02-11,21355.9659,40431.7536
"44",44,"https://www.myactivesg.com/facilities/school-facilities/greenview-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Greenview Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","518969","15 Pasir Ris Street 21","Greenview Secondary School","374A9EB89B7BCB47",2015-02-11,42397.8672,39036.807
"45",45,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Hai Sing Catholic School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","519421","9 Pasir Ris Drive 6","Hai Sing Catholic School","98D8B084EF212287",2015-02-11,41513.9726,39626.3672
"46",46,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Henderson Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","159544","100 Henderson Road","Henderson Secondary School","ACEA76C22EF03A37",2015-02-11,26459.8329,29715.012
"47",47,"https://www.myactivesg.com/facilities/school-facilities/hong-kah-secondary-school-hall",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Hong Kah Secondary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","649370","931 Jurong West Street 42","Hong Kah Secondary School","5520C1D90E92AA9D",2015-02-11,16129.8676,37127.5834
"48",48,"https://www.myactivesg.com/facilities",NA,NA,NA,"Indoor Sports Hall","Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Hougang Primary School, Indoor Sports Hall, ISH, Sport Singapore, SportSG, ActiveSG, Badminton","534238","1 Hougang Street 93","Hougang Primary School","5F4CC24A2FC37050",2015-02-11,33284.9035,39929.5251
"49",49,"https://www.myactivesg.com/facilities/school-facilities/bedok-north-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bedok North Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Sport","419612","20 Jalan Damai","Bedok North Secondary School","82B55FBF7A762162",2015-02-11,36566.455,35162.921
"50",50,"https://www.myactivesg.com/facilities/school-facilities/bedok-south-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bedok South Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, Sport","468585","1 Jalan Langgar Bedok","Bedok South Secondary School","B7534902B41AE8DA",2015-02-11,41090.4088,34158.4484
"51",51,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bedok View Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","469293","6 Bedok South Avenue 3","Bedok View Secondary School","34ABC1006DDE23F1",2015-02-11,40259.3381,34026.9156
"52",52,"https://www.myactivesg.com/facilities/school-facilities/bendemeer-secondary-school-hall",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bendemeer Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG","327919","1 St. Wilfred Road","Bendemeer Secondary School","A81AAC62685AE432",2015-02-11,31027.0619,34065.2548
"53",53,"https://www.myactivesg.com/facilities/school-facilities/bishan-park-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bishan Park Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","575565","2 Sin Min Walk","Bishan Park Secondary School","A217D5C32EEC6F5B",2015-02-11,27930.0555,38542.5159
"54",54,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Blangah Rise Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","109100","91 Telok Blangah Heights","Blangah Rise Primary School","CE225F2AF14EA199",2015-02-11,25252.177,28732.4374
"55",55,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Boon Lay Garden Primary School, Free To Play Field , FTP, Sport Singapore, SportSG, ActiveSG, Free","649930","20 Boon Lay Drive","Boon Lay Garden Primary School","5AC09D0CEE45C20D",2015-02-11,14606.392,36111.012
"56",56,"https://www.myactivesg.com/facilities/school-facilities/boon-lay-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Boon Lay Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","648354","11 Jurong West Street 65","Boon Lay Secondary School","4AE2B3040AA68BA2",2015-02-11,13352.5982,36152.7643
"57",57,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Bowen Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","547529","2 Lorong Napiri","Bowen Secondary School","9DCB2315B52AB4F8",2015-02-11,32912.2984,39196.2495
"58",58,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Keming Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","659762","90 Bukit Batok East Ave 6","Keming Primary School","33B15067420FC1A3",2015-02-11,19386.7448,36355.94
"59",59,"https://www.myactivesg.com/facilities/school-facilities/kent-ridge-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Kent Ridge Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","127368","147 West Coast Road","Kent Ridge Secondary School","84CBBEEB9E3E0BF1",2015-02-11,20388.6902,31522.6122
"60",60,"https://www.myactivesg.com/facilities/school-facilities/kranji-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Kranji Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","689333","61 Choa Chu Kang Street 51","Kranji Secondary School","02514AFA9CF0416A",2015-02-11,17736.2807,41329.3195
"61",61,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Loyang Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","519419","3 Pasir Ris Drive 6","Loyang Primary School","8524297102D63B99",2015-02-11,41632.4785,39242.801
"62",62,"https://www.myactivesg.com/facilities/school-facilities/macpherson-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, MacPherson Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","379499","121 Circuit Road","MacPherson Secondary School","B17EB77A86ED152B",2015-02-11,34133.1579,34400.5017
"63",63,"https://www.myactivesg.com/facilities/school-facilities/marsiling-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Marsiling Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","739110","12 Marsiling Road","Marsiling Secondary School","6D19E5364931D8D3",2015-02-11,21622.217,46482.4186
"64",64,"https://www.myactivesg.com/facilities/school-facilities/mayflower-secondary-school-field",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Mayflower Secondary School, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","569384","2 Ang Mo Kio Street 21","Mayflower Secondary School","A46558E917952D7A",2015-02-11,28227.2666,38922.1546
"65",65,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Meridian Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","518798","20 Pasir Ris Street 71","Meridian Primary School","FCA675B61AC4EA2D",2015-02-11,39303.5467,39724.6875
"66",66,"https://www.myactivesg.com/facilities",NA,NA,NA,"Chargeable Field","Football","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Meridian Junior College, Chargeable Field, CF, Sport Singapore, SportSG, ActiveSG, Football","518799","21 Pasir Ris Street 71","Meridian Junior College","1B9B01826B524C3A",2015-02-11,39537.677,39813.7649
"67",67,"https://www.myactivesg.com/facilities/school-facilities/nan-hua-high-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Nan Hua High School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportSG, Activ","129956","41 Clementi Avenue 1","Nan Hua High School","DFE1C890D4CF927F",2015-02-11,20793.1073,32268.1093
"68",68,"https://www.myactivesg.com/facilities/school-facilities/naval-base-secondary-school-field",NA,NA,NA,"Chargeable Field, Indoor Sports Hall","Football, Badminton","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, Naval Base Secondary School, Chargeable Field, Indoor Sports Hall, CF, ISH, Sport Singapore, SportS","768689","901 Yishun Ring Road","Naval Base Secondary School","5E3F0DE22A7AFB79",2015-02-11,27746.8821,44558.45
"69",69,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, New Town Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","148812","300 Tanglin Halt Road","New Town Primary School","4D499656C96770ED",2015-02-11,24288.0244,31352.0828
"70",70,"https://www.myactivesg.com/facilities",NA,NA,NA,"Free To Play Field","Free Play","DUS, Dual-Use-Scheme, SSC, Singapore Sports Council, North View Primary School, Free To Play Field, FTP, Sport Singapore, SportSG, ActiveSG, Free Play","768960","210 Yishun Avenue 6","North View Primary School","3F057D7026D12CBE",2015-02-11,29655.0571,45473.7924
