"","OBJECTID","LANDYADDRE","LANDXADDRE","ADDRESSPOS","PHOTOURL","NAME","HYPERLINK","DESCRIPTIO","ADDRESSUNI","ADDRESSSTR","ADDRESSFLO","ADDRESSBUI","INC_CRC","FMEL_UPD_D","ADDRESSBLO","X_ADDR","Y_ADDR"
"64",64,28733.539,25253.3821,109100,NA,"Blangah Rise Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"91 Telok Blangah Heights",NA,NA,"2CBE28DA4573E4CB",2014-04-17,NA,25253.3821,28733.539
"65",65,36036.9973,13379.9589,648354,NA,"Boon Lay Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"11 Jurong West Street 65",NA,NA,"62193ABEE5613124",2014-04-17,NA,13379.9589,36036.9973
"66",66,39196.25,32912.2973,547529,NA,"Bowen Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"2 Lorong Napiri",NA,NA,"6A9242704A6CD7B1",2014-04-17,NA,32912.2972,39196.25
"67",67,32202.8828,33938.121,399935,NA,"Broadrick Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"61 Dakota Crescent",NA,NA,"BAB9A1BF07FE1E06",2014-04-17,NA,33938.121,32202.8827
"68",68,39495.7837,20857.0252,679676,NA,"Bukit Panjang Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"109 Cashew Road",NA,NA,"7EC4FD7D09732041",2014-04-17,NA,20857.0252,39495.7837
"69",69,36394.0332,18980.8121,659633,NA,"Bukit View Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"16 Bukit Batok Street 21",NA,NA,"8F695EF0FE215B2F",2014-04-17,NA,18980.812,36394.0331
"70",70,39390.6054,41795.8187,518935,NA,"Casuarina Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"30 Pasir Ris Street 41",NA,NA,"761A6DC14E415AC0",2014-04-17,NA,41795.8186,39390.6053
"71",71,38964.062,21048.6173,679301,NA,"Chestnut Drive Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Basketball Court 
Sports 
Football, Basketball",NA,"58 Chestnut Drive",NA,NA,"986CAFCF97FA94EC",2014-04-17,NA,21048.6173,38964.062
"72",72,40593.0803,18960.1468,688845,NA,"Choa Chu Kang Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"3 Teck Whye Crescent",NA,NA,"4E379862737D1B20",2014-04-17,NA,18960.1468,40593.0802
"73",73,39939.182,17793.0756,689905,NA,"Chua Chu Kang Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"20 Choa Chu Kang Ave 2",NA,NA,"F18C6EBCBF991313",2014-04-17,NA,17793.0756,39939.182
"74",74,32049.3237,20409.9732,127443,NA,"Clementi Woods Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"170 West Coast Road",NA,NA,"15E56EDBFD56658F",2014-04-17,NA,20409.9731,32049.3236
"75",75,42463.466,36247.6588,828869,NA,"Edgefield Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"41 Edgefield Plains",NA,NA,"C0B48C037F1816DE",2014-04-17,NA,36247.6588,42463.466
"76",76,39612.437,40443.0314,518866,NA,"Elias Park Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"11 Pasir Ris Street 52",NA,NA,"601AF006CE8FC79E",2014-04-17,NA,40443.0313,39612.437
"77",77,37162.4898,15581.0663,649371,NA,"Hua Yi Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"60 Jurong West Street 42",NA,NA,"D96623D3CEFF851C",2014-04-17,NA,15581.0663,37162.4898
"78",78,45633.4724,23246.8971,737888,NA,"Innova Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"80 Woodlands Drive 17",NA,NA,"01477FB3B20DAFBB",2014-04-17,NA,23246.897,45633.4724
"79",79,36663.8763,39794.4452,528906,NA,"Junyuan Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Mon - Fri: 7.00 pm to 10.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"2 Tampines Street 91",NA,NA,"D0C7F12C1AF9A755",2014-04-17,NA,39794.4452,36663.8762
"80",80,34696.9876,15829.1975,618652,NA,"Jurong Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"31 Yuan Ching Road",NA,NA,"032654F25950DB26",2014-04-17,NA,15829.1974,34696.9876
"81",81,35271.7687,13396.5338,648348,NA,"Jurong West Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"61 Jurong West Street 65",NA,NA,"C4D85C231BFE9556",2014-04-17,NA,13396.5338,35271.7686
"82",82,39626.3673,41513.9724,519421,NA,"Hai Sing Catholic School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"9 Pasir Ris Drive 6",NA,NA,"F72A283E12458F7C",2014-04-17,NA,41513.9724,39626.3673
"83",83,41932.5036,33839.2885,544964,NA,"Sengkang Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
NA 
Opening Hours (Futsal Field) 
7.00 am - 10.00 pm 
Opening Hours (Stadium) 
NA 
Opening Hours (Sports Hall) 
7.00am - 10.00pm 
Facilities: 
Sengkang Hockey Field, Sengkang ClubFITT Gym, Sengkang Sports Hall, Sen",NA,"57 Anchorvale Road NA S(544964)",NA,NA,"1949997B54987FF3",2014-04-17,NA,33839.2884,41932.5035
"84",84,34718.5855,30075.2684,319389,NA,"Toa Payoh Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
NA 
Opening Hours (Futsal Field) 
NA 
Opening Hours (Stadium) 
7.00am - 10.00pm (Free admission for jogging from 4.30 am - 8.30 pm except when stadium is exclusively booked.) 
Opening Hours (Sports Hall) 
7.00am -",NA,"297A Toa Payoh Lorong   6 S(319389)",NA,NA,"1FC38648790CEAB8",2014-04-17,NA,30075.2684,34718.5855
"85",85,43741.3357,27766.3707,769130,NA,"Yishun Sports and Recreation Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
NA 
Opening Hours (Futsal Field) 
NA 
Opening Hours (Stadium) 
7.00am - 10.00pm (Free admission for jogging from 4.30 am - 8.30 pm except when stadium is exclusively booked.) 
Opening Hours (Sports Hall) 
7.00am -",NA,"101 Yishun Avenue 1 S(769130)",NA,NA,"EC26BC00AE1452E8",2014-04-17,NA,27766.3706,43741.3356
"86",86,37940.0628,31023.4763,559020,NA,"Burghley Squash and Tennis Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
7.00am - 10.00pm 
Opening Hours (Futsal Field)NA 
Opening Hours (Stadium) 
NA 
Facilities: 
Burghley Squash and Tennis Centre",NA,"43 Burghley Drive NA S(559020)",NA,NA,"BF66DAF296C966DE",2014-04-17,NA,31023.4763,37940.0627
"87",87,32667.9159,29800.8952,218254,NA,"Farrer Park Tennis Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
7.00am - 10.00pm 
Opening Hours (Futsal Field)7.00am - 7.00pm 
Opening Hours (Stadium) 
NA 
Facilities: 
Farrer Park Tennis Centre, Farrer Park Field",NA,"3 Rutland Road NA S(218254)",NA,NA,"5B5DEE60C54E38AD",2014-04-17,NA,29800.8952,32667.9158
"88",88,31958.5987,33151.2057,397724,NA,"Kallang Squash , Tennis & Netball Centre","http://www.icanbook.com.sg/","Opening Hours (Tennis / Squash courts) 
7.00am - 10.00pm 
Opening Hours (Futsal Field)NA 
Opening Hours (Stadium) 
7.00am - 7.30pm 
Facilities: 
Kallang Practice Track, Kallang Squash , Tennis & Netball Centre",NA,"52 Stadium Road NA S(397724)",NA,NA,"DFCD8CDE4AB4F4FD",2014-04-17,NA,33151.2056,31958.5987
"89",89,32617.1643,32957.2653,399005,NA,"Geylang Field","http://www.ssc.gov.sg/publish/Corporate/en/participation/hotspot/sports_facility/fields.html","Opening Hours (Futsal Field) 
7.00am - 7.30pm",NA,"30 Lorong 12 Geylang S(399005)",NA,NA,"B3E8F23CD01FFC1F",2014-04-17,NA,32957.2653,32617.1643
"90",90,32452.7437,20117.2833,127156,NA,"Clementi Stadium","http://www.ssc.gov.sg/publish/Corporate/en/participation/hotspot/sports_facility/stadiums.html","Opening Hours (Stadium) 
7.00am - 10.00pm (Free admission for jogging from 4.30 am - 8.30 pm except when stadium is exclusively booked.)Opening Hours (Pool) 
Facilities:Clementi Stadium",NA,"10 West Coast Walk  NA S(127156)",NA,NA,"0F7F6C6EB318540D",2014-04-17,NA,20117.2833,32452.7436
"91",91,38411.0587,18165.9957,659204,NA,"Dunearn Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"21 Bukit Batok West Avenue 2",NA,NA,"B1BCE055054BACA3",2014-04-17,NA,18165.9956,38411.0587
"92",92,34637.2131,37640.2439,469031,NA,"East Coast Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"8 Chai Chee Lane",NA,NA,"176E25107871620A",2014-04-17,NA,37640.2439,34637.213
"93",93,36558.469,39833.3827,528907,NA,"East View Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"4 Tampines Street 91",NA,NA,"574233E68D1737B9",2014-04-17,NA,39833.3827,36558.469
"94",94,37815.5112,40939.3656,529177,NA,"East View Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Mon - Fri: 7.00 pm to 10.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Foo",NA,"3 Tampines Street 42",NA,NA,"2AAE41F5F985A2E4",2014-04-17,NA,40939.3656,37815.5111
"95",95,46370.3602,27594.7297,768928,NA,"Ahmad Ibrahim Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football, Free Play",NA,"751 Yishun Avenue 7",NA,NA,"3202B84EADF6D38C",2014-04-17,NA,27594.7297,46370.3602
"96",96,39566.6173,30005.01,569206,NA,"Anderson Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"10 Ang Mo Kio Street 53",NA,NA,"210433A9BB37950F",2014-04-17,NA,30005.0099,39566.6173
"97",97,38821.1291,29032.9524,569362,NA,"Ang Mo Kio Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"6 Ang Mo Kio Street 22",NA,NA,"68FA02399A41CD94",2014-04-17,NA,29032.9523,38821.1291
"98",98,35823.6861,33494.1563,538403,NA,"Bartley Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"10 Jalan Bunga Rampai",NA,NA,"CDCEB6504D07C84B",2014-04-17,NA,33494.1562,35823.6861
"99",99,34026.5429,39621.6222,469317,NA,"Bedok Green Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"1 Bedok South Avenue 2",NA,NA,"E358DE6FDF97C57F",2014-04-17,NA,39621.6222,34026.5428
"100",100,35113.53,39373.1923,469722,NA,"Bedok Green Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"360 Bedok North Avenue 3",NA,NA,"27DEB167020FD987",2014-04-17,NA,39373.1923,35113.5299
"101",101,34026.9155,40259.3373,469293,NA,"Bedok View Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 7.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"6 Bedok South Avenue 3",NA,NA,"B9F4FB28CD1D4DA0",2014-04-17,NA,40259.3372,34026.9155
"102",102,47374.6154,21512.4314,739148,NA,"Si Ling Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"11 Marsiling Lane",NA,NA,"FA02119FDA811E91",2014-04-17,NA,21512.4314,47374.6153
"103",103,40189.9385,39827.9965,519385,NA,"Siglap Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"10 Pasir Ris Drive 10",NA,NA,"2C262FC6A601191B",2014-04-17,NA,39827.9965,40189.9385
"104",104,36834.1696,38758.4696,529593,NA,"Springfield Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"30 Tampines Avenue 8",NA,NA,"BE447865C1C3AF64",2014-04-17,NA,38758.4696,36834.1696
"105",105,36501.7329,32728.6507,556140,NA,"St Gabriel's Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football,",NA,"24 Serangoon Ave 1",NA,NA,"5C912E45A4B07A10",2014-04-17,NA,32728.6507,36501.7328
"106",106,39928.4228,39820.7143,519524,NA,"Park View Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"60, Pasir Ris Drive 1",NA,NA,"C21AC168270297D8",2014-04-17,NA,39820.7143,39928.4228
"107",107,39372.7018,42027.1676,518934,NA,"Pasir Ris Crest Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Mon - Fri: 7.00 pm to 10.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Foo",NA,"11 Pasir Ris Street 41",NA,NA,"59A6E9A21BF19FDB",2014-04-17,NA,42027.1676,39372.7017
"108",108,41378.0154,33035.5279,797702,NA,"Pei Hwa Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"21 Fernvale Link",NA,NA,"57797D5702E6E499",2014-04-17,NA,33035.5279,41378.0153
"109",109,37927.0772,32137.0009,556094,NA,"Peicai Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Fri: 7.00 pm to 9.00pm, Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
NA 
Facilities: 
Indoor Sports Hall 
Sports 
Badminton",NA,"10 Serangoon Avenue 4",NA,NA,"DFE1E52A643371D5",2014-04-17,NA,32137.0009,37927.0771
"110",110,39406.4068,32608.2995,555855,NA,"Rosyth Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"21 Serangoon North Ave 4",NA,NA,"548CCF6D84B04C7E",2014-04-17,NA,32608.2994,39406.4068
"111",111,47411.1056,26631.5285,757715,NA,"Sembawang Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Free Play",NA,"10 Sembawang Drive",NA,NA,"E3ED73EF8D99C45D",2014-04-17,NA,26631.5285,47411.1055
"112",112,47441.1161,26166.5553,757704,NA,"Sembawang Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"30 Sembawang Crescent",NA,NA,"EDE989B7DE1F065A",2014-04-17,NA,26166.5553,47441.1161
"113",113,38929.2961,28235.9463,569384,NA,"Mayflower Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"2 Ang Mo Kio Street 21",NA,NA,"A3952CD524BE3C49",2014-04-17,NA,28235.9463,38929.296
"114",114,44732.0829,29316.4466,768692,NA,"Northbrooks Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field 
Sports 
Football",NA,"585 Yishun Ring Road",NA,NA,"6576B9E26E7D3684",2014-04-17,NA,29316.4466,44732.0829
"115",115,37414.9815,40831.148,529400,NA,"Pasir Ris Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"390 Tampines Street 21",NA,NA,"FCD82F5DEFA5EB4A",2014-04-17,NA,40831.148,37414.9814
"116",116,46116.9796,27938.097,768643,NA,"Ahmad Ibrahim Primary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
NA 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Free To Play Field 
Sports 
Football",NA,"10 Yishun Street 11",NA,NA,"B7A1B852B2BFF8AB",2014-04-17,NA,27938.097,46116.9795
"117",117,34114.3511,41095.5959,468585,NA,"Bedok South Secondary School","http://www.icanbook.com.sg/icbnew/Facility/Public/UI/BasicSearch.aspx?CLR=Y","Opening Hours (Indoor Sports Hall): 
Sat: 3.00 pm to 9.00 pm, Sun: 9.00 am to 9.00 pm 
Opening Hours (Field): 
Sat: 3.00 pm to 7.00 pm, Sun: 9.00 am to 7.00 pm 
Facilities: 
Chargeable Field, Indoor Sports Hall 
Sports 
Football, Badminton",NA,"1 Jalan Langgar Bedok",NA,NA,"A3A33FF323B7750D",2014-04-17,NA,41095.5959,34114.351
